ITEM_ID,CARTONIZATION_FLAG,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM,DEST,FCST,CBM_MAX,CBM_PERC
169398,false,7701,"Frisco 42-in Heavy Duty Faux Fur Cat Tree & Condo, Gray",100.0,1.0,1.0,0.0891255775317153,TLA,10864.194826718422,66.0,14.670873308308376
258782,false,P000420,"Frisco Leaf High-Sided Cat Litter Box, Large, 21-in",60.0,0.0,1.0,1.8877897728,TNY,500.3649796553773,66.0,14.311877140313657
1817942,true,P19098,"Chewy High Protein Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",40.0,0.0,1.0,0.031229647218,TNY,30217.27280442662,66.0,14.298102569277406
173772,false,P000486,"Frisco Giant Premium Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 100 count",800.0,1.0,1.0,0.066123784816099,TLA,14240.493980514228,66.0,14.267202418825393
157222,true,P18511,"Bones & Chews 6"" Thin Bully Sticks, 6 count",100.0,0.0,1.0,0.06292632576,TLA,14881.517036254629,66.0,14.188472557974977
173770,true,B3722,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Unscented, 300 count",250.0,1.0,1.0,0.0716925,TLA,12935.398148424303,66.0,14.051076238725901
141369,true,P000420,"Frisco High Sided Cat Litter Box, Medium, Gray, 18-in",420.0,0.0,1.0,1.8877897728,MDT1,491.02736497823616,66.0,14.0447945116795
141375,false,P000420,"Frisco High Back Cat Litter Box, Extra Large, Gray, 23-in",300.0,0.0,1.0,1.8877897728,TNY,490.51320657151496,66.0,14.030088102864237
109339,true,P19098,"American Journey Protein & Grains Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.03226203225,TNY,28489.988439189423,66.0,13.926438270109946
155652,false,P000420,"Frisco Top Entry Cat Litter Box, Extra Large, Gray, 23-in",84.0,0.0,1.0,1.8877897728,TNY,475.46245140307036,66.0,13.59959322892626
150194,true,P19098,"True Acre Foods Grain-Free Beef & Vegetable Dry Dog Food, 40-lb bag",24.0,0.0,1.0,0.052651636632,TNY,16349.67278763957,66.0,13.042985313134807
278183,false,P000420,"Frisco Top Entry Cat Litter Box, Extra Large, Black, 23-in",84.0,0.0,1.0,1.8877897728,MDT1,448.01587052870036,66.0,12.814542097517718
247981,true,P19098,"True Acre Foods Large Breed Chicken & Vegetables Recipes Grain-Free Dry Dog Food, 40-lb bag",24.0,0.0,1.0,0.052651636632,TLA,14730.013113104927,66.0,11.750898454784785
150190,true,P19098,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",24.0,0.0,1.0,0.052651636632,TNY,14678.58390522237,66.0,11.709870697728663
157222,true,P18511,"Bones & Chews 6"" Thin Bully Sticks, 6 count",100.0,0.0,1.0,0.06292632576,TNY,12221.975215806006,66.0,11.652787785764469
152569,true,B3722,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Unscented, 200 count",1500.0,1.0,1.0,0.048,TNY,16001.05541656282,66.0,11.637131212045688
144146,true,2641,"Frisco Summer Clean Scented Non-Clumping Crystal Cat Litter, 8-lb bag",140.0,0.0,4.0,0.038452245676,TLA,79853.51252405021,66.0,11.630859400251218
1940270,true,P000486,"Chewy XXL Premium Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 100 count",800.0,0.0,1.0,0.06612,TNY,11554.190940904056,66.0,11.57519856079661
1761102,true,P27156,"Chewy Multi-Cat Unscented Clumping Clay Cat Litter, 20 lb bag",100.0,0.0,1.0,0.0082075757547727,TNY,92859.24438876318,66.0,11.547716406844327
1349358,true,P19034,"Frisco Multi-Cat Unscented Clumping Clay Cat Litter, 20 lb bag",100.0,0.0,1.0,0.0082073585852499,TLA,91426.5942501513,66.0,11.369255200593008
214395,false,B3755,"Frisco 76-in XXL Heavy Duty Cat Tree, Gray",100.0,1.0,1.0,0.151209375,TLA,4869.741971441135,66.0,11.15682787746791
1349358,true,P19034,"Frisco Multi-Cat Unscented Clumping Clay Cat Litter, 20 lb bag",100.0,0.0,1.0,0.0082073585852499,TNY,87113.62592700211,66.0,10.832920691579229
144146,true,2641,"Frisco Summer Clean Scented Non-Clumping Crystal Cat Litter, 8-lb bag",140.0,0.0,4.0,0.038452245676,TNY,73649.98651692862,66.0,10.727300665087224
1761102,true,P27156,"Chewy Multi-Cat Unscented Clumping Clay Cat Litter, 20 lb bag",100.0,0.0,1.0,0.0082075757547727,TLA,84490.72702254337,66.0,10.507030948687055
526526,false,P000420,"Frisco Mega Deluxe Litter Box, Olive Green, 26-in",80.0,0.0,1.0,1.8877897728,MDT1,361.39778020821115,66.0,10.337015657419443
1759558,true,P19098,"Chewy Wholesome Grains Lamb, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.0322635479554697,TLA,21127.918444791674,66.0,10.328206211254379
108411,true,B213591,"American Journey Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",60.0,0.0,1.0,0.0228042382624,TLA,29865.337513145394,66.0,10.319034430860002
166719,false,7701,"Frisco 42-in Heavy Duty Faux Fur Cat Tree & Condo, Cream",100.0,1.0,1.0,0.0891255775317153,TLA,7574.8817794187435,66.0,10.229025959472162
152699,true,P000486,"Frisco Giant Premium Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 50 count",800.0,1.0,1.0,0.0344545302471067,TNY,18563.614517144553,66.0,9.690918452675547
232121,true,2641,"Frisco Micro Crystal Unscented Non-Clumping Crystal Cat Litter, 7-lb bag",140.0,0.0,4.0,0.038452245676,TLA,66376.64615686987,66.0,9.667920852927582
