MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Heavyweight Anchorage Insulated Dog & Cat Parka,PCA3755,"Frisco Heavyweight Anchorage Insulated Dog & Cat Parka, Blue, Small",1500,1000083065,0,25,0.076032
Waste Management,Poop Bags,PCA3722-CA: JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,"Frisco Refill Dog Poop Bags, Unscented, 30 Bag Roll, 120 Count",PCA3722,"Frisco Refill Dog Poop Bags, Unscented, 30 Bag Roll, 120 Count",528,1000067819,0,48,0.0338865
Beds & Furniture,Beds,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Covered Tent Cat & Dog Bed,PCA000064,"Frisco Covered Tent Cat & Dog Bed, Beige, Small",250,1000065287,0,10,0.197904
Bowls & Feeders,Bowls & Diners,"PCA000579-CA: GO FETCH, LLC",Frisco Complete Travel Stainless Steel Dog & Cat Feeder Bowl,PCA000579,"Frisco Complete Travel Stainless Steel Dog & Cat Feeder Bowl, Black, Large",200,1000069001,0,1,
Containment & Gear,Containment,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Swirl Dog Crate Mat,PCA000064,"Frisco Swirl Dog Crate Mat, Gray, 24""",252,1000064729,0,36,0.37271
"Leashes, Collars & Harnesses",Collars,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Comfort Padded Dog Collar,PCA000064,"Frisco Comfort Padded Dog Collar, Malachite Green, Medium",500,1000017710,0,50,0.007245
Personalized,Personalized Pet Products,P20275-PROGIFTSOURCE.COM - V2C,Frisco Rainy Days Personalized Dog Raincoat,P20275,"Frisco Rainy Days Personalized Dog Raincoat, XXX-Large",1,291351,0,1,
"Leashes, Collars & Harnesses",Collars,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Outdoor Woven Jacquard Nylon Dog Collar,PCA000064,"Frisco Outdoor Woven Jacquard Nylon Dog Collar, River Blue, SM - Neck: 10-14-in, Width: 5/8-in",500,1000016958,0,144,0.02
"Leashes, Collars & Harnesses",Leashes,PCA3722-CA: JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,Frisco Tie Out Cable,PCA3722,"Frisco Tie Out Cable, 30-ft",200,1000066649,0,5,0.0083655
Toys,Plush Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Camping Raccoon Plush Squeaky Dog Toy,PCA20837,"Frisco Camping Raccoon Plush Squeaky Dog Toy, Small/Medium",1224,1000068869,0,72,0.07875
Containment & Gear,Containment,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Durable Crate Mat,PCA000064,"Frisco Durable Crate Mat, Black, 30-in",252,1000069133,0,12,0.243936
Personalized & Gifting,Human Apparel,PCA000508-CA: HONG KONG CITY TOYS FACTORY LTD,Frisco Fair Isle Fleece Lined Dog & Cat Hoodie,PCA000508,"Frisco Fair Isle Fleece Lined Dog & Cat Hoodie, Gray, Medium",1530,1000067645,0,34,0.07423493620725002
Beds & Furniture,Beds,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Faux Suede Pillow Dog Bed with Removable Cover,PCA000064,"Frisco Faux Suede Pillow Dog Bed with Removable Cover, Khaki Green, Medium",250,1000064789,0,8,0.3968
"Leashes, Collars & Harnesses",Collars,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Pink Ombre Style Dog Collar,PCA000064,"Frisco Pink Ombre Style Dog Collar, LG - Neck: 18 – 26-in, Width: 1-in",500,1000018198,0,48,0.0077
Toys,Fetch Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Chewy Fetch Squeaky Tennis Ball Dog Toy,PCA20837,"Frisco Chewy Fetch Squeaky Tennis Ball Dog Toy, Medium, 3 count",2400,1000013814,0,48,0.04264
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Cable Knitted Sweater,PCA3755,"Frisco Dog & Cat Cable Knitted Sweater, Red, Large",1500,1000098527,0,50,0.0882
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD",Frisco Ultra-Soft Marled Dog & Cat Sweater,PCA18936,"Frisco Ultra-Soft Marled Dog & Cat Sweater, Gray, X-Small",1500,1000098665,0,48,0.02376
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","Frisco Mid-Heavyweight Cinching Insulated Dog & Cat Parka, Black/Red Plaid",PCA18936,"Frisco Mid-Heavyweight Cinching Insulated Dog & Cat Parka, Black/Red Plaid, Medium",1500,1000068695,0,48,0.213355538001
"Leashes, Collars & Harnesses",Harnesses,"PCA000025-CA: COASTAL PET PRODUCTS, INC. - DOM (25)",Frisco Small Breed Soft Vest Step In Back Clip Dog Harness,PCA000025,"Frisco Small Breed Soft Vest Step In Back Clip Dog Harness, Red, 11 to 13-in chest",36,1000098167,0,36,0.018775642448640002
Containment & Gear,Containment,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Arch Small Wood Dog Gate,PCA3755,"Frisco Arch Small Wood Dog Gate, White, 30-in",100,1000069151,0,1,0.063106695
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Non-Skid Dog Socks,PCA3755,"Frisco Non-Skid Dog Socks, Black, Size 7",300,1000068917,0,300,0.12012
"Leashes, Collars & Harnesses",Harnesses,PCA000544-CA: SHANGHAI SENFUL CO LTD,Frisco Basic No Pull Harness,PCA000544,"Frisco Basic No Pull Harness, Black/Gray, LG",560,1000095713,0,80,0.057613531825599154
"Leashes, Collars & Harnesses",Leashes,"PCA000025-CA: COASTAL PET PRODUCTS, INC. - DOM (25)",Frisco Top Grain Leather Leash,PCA000025,"Frisco Top Grain Leather Leash, Latigo, Medium: Width: 5/8th'', Length 6ft",24,1000068539,0,24,0.024079414034624
Beds & Furniture,Beds,PCA000161-CA: PM&J LLC - DOM,Frisco Faux Felt Orthopedic Sofa Dog Bed with Removable Cover,PCA000161,"Frisco Faux Felt Orthopedic Sofa Dog Bed with Removable Cover, Gray, Large",250,1000068209,0,6,0.7551159091199999
Litter Accessories,Litter Boxes,PCA000420-CA: MODERNA PRODUCTS AMERICA LLC,Frisco Multi-Cat Litter Box with Scooper,PCA000420,"Frisco Multi-Cat Litter Box with Scooper, Navy Blue, XL",80,1000083449,0,1,1.8878234135044103
