CHW_SKU_NUMBER	MC2_NAME	MC3_NAME	CHW_PRIMARY_SUPPLIER_NAME	PRODUCT	CHW_PRIMARY_SUPPLIER_NUMBER	SKU_NAME	PURCHASE_MOQ	CHW_UNITS_PER_CARTON	CHW_MASTER_CASE_PACK	CHW_MASTER_CARTON_CBM	DEST	Demand
152812	Toys	Interactive Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Flying Saucer & Aliens Hide & Seek Puzzle Plush Squeaky Dog Toy	P20837	Frisco Flying Saucer & Aliens Hide & Seek Puzzle Plush Squeaky Dog Toy, Small/Medium	1200	0.0	12.0	0.11113218003393723	TNY	500.0954104144003
152803	Toys	Fetch Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Fetch Squeaky Tennis Ball Dog Toy	P20837	Frisco Fetch Squeaky Tennis Ball Dog Toy, Medium, 1 count	1008	0.0	144.0	0.04592141343897126	TNY	447.17136369249107
153158	Leashes, Collars & Harnesses	Collars	B000035-COASTAL PET PRODUCTS, INC.	Frisco Pineapple Polyester Breakaway Cat Collar with Bell	B000035	Frisco Pineapple Polyester Breakaway Cat Collar with Bell, 8 to 12-in neck, 3/8-in wide	48	0.0	48.0	0.018775642448640002	TNY	51.977778142430026
153160	Leashes, Collars & Harnesses	Collars	B000035-COASTAL PET PRODUCTS, INC.	Frisco Rose Polyester Breakaway Cat Collar with Bell	B000035	Frisco Rose Polyester Breakaway Cat Collar with Bell, 8 to 12-in neck, 3/8-in wide	48	0.0	48.0	0.0033825522026239992	TNY	62.63264790846506
159868	Bowls & Feeders	Bowls & Diners	P000579-GO FETCH, LLC	Frisco Stainless Steel Bowl	P000579	Frisco Stainless Steel Bowl, X-Large: 11 cup	500	0.0	72.0	0.022802599556000006	TNY	91.34658349026225
159867	Bowls & Feeders	Bowls & Diners	P000579-GO FETCH, LLC	Frisco Stainless Steel Bowl	P000579	Frisco Stainless Steel Bowl, Large: 7 cup	500	0.0	72.0	0.014600874024000001	TNY	925.2425165059834
161196	Toys	Interactive Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Fabric Teaser Wand Cat Toy	P20837	Frisco Fabric Teaser Wand Cat Toy, Neon Bubbles	1224	0.0	72.0	0.02097674759776037	TNY	532.0238027848948
837750	Toys	Interactive Toys	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Foldable Play Tri-Tunnel Cat Toy	3755	Frisco Foldable Play Tri-Tunnel Cat Toy, Warm Multicolor	1512	0.0	24.0	0.032368174476507944	TNY	614.0853189573481
112068	Beds & Furniture	Beds	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Steel-Framed Elevated Dog Bed	B3722	Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large	250	5.0	5.0	0.0636771	TNY	47.835723371037965
112074	Beds & Furniture	Beds	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Steel-Framed Elevated Dog Bed	B3722	Frisco Steel-Framed Elevated Dog Bed, Gray, Small	252	6.0	6.0	0.04983345	TNY	210.79675322061007
