parent_product_part_number,product_part_number,product_name,vendor_Code,vendor_name,vendor_purchaser_code,MOQ,MCP,case_pk_CBM,planned_demand,vendor_earliest_ETD,MC1,MC2,BRAND,SKU,PUBBED,OH,T90_DAILY_AVG,F90_DAILY_AVG,AVG_LT,ost_ord,Next_Delivery,T90_DOS_OH,F90_DOS_OH,F90_DOS_OO,T90_BELOW,F90_BELOW,baseConsumption,bufferConsumption,baseDemand,bufferDemand,excess_demand
387215.0,360993,"Frisco 3 in 1 Dog & Cat Stroller with Detachable Carrier, Black",P000544,SHANGHAI SENFUL CO LTD,JADESCHACK,500.0,1,0.07821,500.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,360993,True,460.0,1.20,1.52,127.0,500.0,2026-02-06,383.33,302.63,328.95,False,False,235.6,278.16,500.0,0.0,500.0
284808.0,258354,"Frisco Adjustable Dog Seatbelt Tether, Reflective Black, Length: 3-ft, Width: 1-in, 1 count",P000544,SHANGHAI SENFUL CO LTD,JADESCHACK,1000.0,100,0.0233278946790694,1000.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,258354,True,1573.0,4.58,7.36,127.0,1000.0,2026-02-06,343.45,213.72,135.87,False,False,1140.8,1346.88,1000.0,0.0,1000.0
239201.0,212618,"Frisco Heavy Duty Fold & Carry Double Door Collapsible Wire Dog Crate & Mat Kit, X-Large",B000164,PM&J LLC,JADESCHACK,250.0,1,0.109766996262987,250.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,212618,True,338.0,1.20,2.09,152.0,0.0,,281.67,161.72,0.0,False,False,376.2,434.71999999999997,250.0,96.71999999999997,153.0
175022.0,148196,"Frisco Replacement Tray for Ultimate Heavy Duty Steel Metal Dog Crate, 39.96 in L x 29.45 in W",P000398,TANGSHAN KANGBEI PET PRODUCTS CO. LTD,JADESCHACK,50.0,1,0.0600634379318648,50.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,148196,True,140.0,0.56,0.9,120.0,100.0,2026-01-14,250.0,155.56,111.11,False,False,133.20000000000002,158.4,50.0,0.0,50.0
171699.0,144848,"Frisco Dog Crate Mat, Dark Gray, 42-in",B000064,PM&J LLC - DIRECT IMPORT,JADESCHACK,256.0,16,0.50224,256.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,144848,True,893.0,3.14,5.27,143.0,256.0,2026-01-27,284.39,169.45,48.58,False,False,901.17,1048.73,256.0,0.0,256.0
277075.0,250606,"Frisco Steel 3-Panel Configurable Dog Gate, White, 30-in",P18120,NINGBO KONY METAL PRODUCTS CO LTD,JADESCHACK,100.0,1,0.0794706084992341,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,250606,True,572.0,2.52,2.87,123.0,362.0,2025-11-19,226.98,199.3,126.13,False,False,433.37,513.73,100.0,0.0,100.0
387234.0,361012,"Frisco Outdoor Wooden Cat House with Balcony & Step Ladder, Brown",P20745,XIAMEN SUNNYPET PRODUCT CO LTD,JADESCHACK,100.0,1,0.097284,100.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,361012,True,544.0,2.27,5.16,111.0,300.0,2025-12-17,239.65,105.43,58.14,False,True,717.24,861.72,100.0,17.720000000000027,82.0
137152.0,109781,"Frisco Heavy Duty Fold & Carry Single Door Collapsible Wire Dog Crate, Medium",B000164,PM&J LLC,JADESCHACK,250.0,1,0.0481291386421753,250.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,109781,True,69.0,6.22,5.38,152.0,0.0,,11.09,12.83,0.0,True,True,968.4,1119.04,250.0,1050.04,0.0
118184.0,90503,"Frisco Quilted Dog Crate Mat, Ivory, 22-in",B000064,PM&J LLC - DIRECT IMPORT,JADESCHACK,252.0,12,0.09405,252.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,90503,True,2534.0,8.36,12.52,143.0,0.0,,303.11,202.4,0.0,False,False,2140.92,2491.48,252.0,0.0,252.0
282478.0,256022,"Frisco Cooling Orthopedic Dog Crate Mat, 42-in",B000064,PM&J LLC - DIRECT IMPORT,JADESCHACK,250.0,10,0.595296,250.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,256022,True,1043.0,6.52,17.31,143.0,2360.0,2025-12-22,159.97,60.25,136.34,False,True,2960.0099999999998,3444.6899999999996,250.0,41.6899999999996,200.0
